{{c1::spähen}} : <span class="content">forschend, suchend blicken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">aus dem Fenster, um die Ecke, durch die Gardine spähen</span></span></div>
{{c1::Kragen}} : <span class="content">den Hals teilweise oder ganz umschließender Teil der Kleidung<span class="term_img"><span><a class="colorbox-inline" href="?width=500&amp;height=500&amp;inline=true#largimage201020382698"><img meta-alt="Kragen - Schillerkragen (18. Jh.)" meta-bu="Schillerkragen (18. Jh.) - © Bibliographisches Institut, Berlin" meta-dateiname="Kragen-201020382698.jpg" meta-ref-id="201020382698" meta-size="medium" meta-title="Kragen - Schillerkragen (18. Jh.)" meta-type="image" src="http://duden.de/_media_/small/K/Kragen-201020382698.jpg"/></a><br/><span class="bu">Schillerkragen (18. Jh.) - © Bibliographisches Institut, Berlin</span><span style="display:none"><span class="colorboxbiga" id="largimage201020382698"><img class="hidden" src="http://duden.de/_media_/full/K/Kragen-201020382698.jpg" style="max-width:450px; max-height:450px;"/><br/><span class="bu">Schillerkragen (18. Jh.) - © Bibliographisches Institut, Berlin</span></span></span></span></span></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein hoher, enger, steifer, halsferner Kragen</span></span></li><li><span class="beispiel"><span class="font_normal">den Kragen offen tragen, hochschlagen</span></span></li><li><span class="beispiel"><span class="font_normal">der Kragen des Mantels ist mit Pelz besetzt</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemanden am Kragen packen</span></span></li></ul></div>
{{c1::Kragen}} : <span class="content">einzelner, nicht fest an ein Kleidungsstück genähter <a href="http://www.duden.de/rechtschreibung/Kragen#b2-Bedeutung-1a" meta-ref-anker="#b2-Bedeutung-1a" meta-ref-id="10015250" meta-ref-name="Kragen" meta-type="art">Kragen (1a)</a></span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">der Kragen lässt sich anknöpfen, abnehmen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">den Kragen stärken</span></span></li></ul></div>
{{c1::Kragen}} : <span class="content">(meist von Geflügel) Hals</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">landschaftlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">beim Hühnerklein fehlt der Kragen</span></span></div>
{{c1::Kragen}} : <span class="content">Hals einer Flasche</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">landschaftlich</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">der Flasche den Kragen abschlagen</span></span></div>
{{c1::Kragen}} : <span class="content">gegen das übrige Fell oder Gefieder abstechender Streifen um den, am Hals von Tieren</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Jägersprache</span></p></div>
{{c1::Kragen}} : <span class="content"></span>	<div class="Wendungen"><h3>Wendungen, Redensarten, Sprichwörter</h3><ul><li><span class="iwtext">jemandem platzt der Kragen</span> <span class="content">(<span class="iw_kopf_info">salopp:  </span><span class="iw_rumpf_info"><span class="font_normal">jemand wird über etwas so wütend, dass er bzw. sie es nicht länger hinnehmen kann</span></span>)</span></li><li><span class="iwtext">jemandem/jemanden den Kragen kosten</span> <span class="content">(<span class="iw_rumpf_info"><span class="font_normal"><a href="http://www.duden.de/rechtschreibung/Hals_Koerperteil_Rachen#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10075479" meta-ref-name="Hals_Koerperteil_Rachen" meta-type="art">Hals 1</a></span></span>)</span></li><li><span class="iwtext">jemandem den Kragen [her]umdrehen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemanden töten</span></span>)</span></li><li><span class="iwtext">jemanden am Kragen kriegen/packen; jemanden beim Kragen packen/nehmen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemanden zur Rede stellen</span></span>)</span></li><li><span class="iwtext">es geht jemandem an den Kragen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemand wird für etwas zur Verantwortung gezogen; jemand wird von seinem Schicksal ereilt, geht zugrunde</span></span>)</span></li><li class="noBottomMargin"><span class="iwtext">jemandem an den Kragen wollen</span> <span class="content">(<span class="iw_kopf_info">umgangssprachlich:  </span><span class="iw_rumpf_info"><span class="font_normal">jemanden zur Verantwortung ziehen wollen, ihm Schaden zufügen, ihn verprügeln wollen</span></span>)</span></li></ul></div>
{{c1::Hingabe}} : <span class="content">rückhaltloses Sichhingeben für/an jemanden, etwas</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">bedingungslose Hingabe an Gott, an die Arbeit</span></span></div>
{{c1::Hingabe}} : <span class="content">große innere Beteiligung, hingebungsvoller Eifer; Leidenschaft</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Kranken voller Hingabe pflegen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sich einer Sache, Arbeit mit Hingabe widmen</span></span></li></ul></div>
{{c1::Hingabe}} : <span class="content">sexuelles Sichhingeben der Frau</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben verhüllend</span></p></div>
{{c1::Hingabe}} : <span class="content">das [Hin]geben</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">selten</span></p></div>
{{c1::Hingabe}} : <span class="content">das Hingeben, Opfern</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">Hingabe des Vermögens</span></span></div>
{{c1::attackieren}} : <span class="content">einen militärischen Gegner zu Pferde angreifen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den Feind, die feindlichen Stellungen attackieren</span></span></div>
{{c1::attackieren}} : <span class="content"><a href="http://www.duden.de/rechtschreibung/angreifen#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10151385" meta-ref-name="angreifen" meta-type="art">angreifen (1)</a></span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">plötzlich wurde er von hinten attackiert</span></span></div>
{{c1::attackieren}} : <span class="content">scharf kritisieren, gegen jemanden, etwas zu Felde ziehen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">jemanden [wegen seines Verhaltens], jemandes Verhalten attackieren</span></span></div>
{{c1::übertragen}} : <dd class="content">abgetragen; gebraucht</dd>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">übertragene Kleidung</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">etwas übertragen kaufen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">als <a href="http://www.duden.de/rechtschreibung/Uebertragung#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10049813" meta-ref-name="Uebertragung" meta-type="art">Übertragung (1)</a> senden</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">das Fußballspiel [live, direkt] aus dem Stadion übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">auf einen Ton- oder Datenträger aufnehmen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">eine Aufnahme auf [eine] DVD übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">(Signale, Informationen, Daten) zu einem anderen Gerät, auf einen anderen Datenträger, in einen anderen Speicher oder dergleichen transportieren</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Nachrichtentechnik, EDV</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">Daten, Bilder [per Datenleitung, übers Internet, über Satellit] übertragen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">Signale digital übertragen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">einen [literarischen] Text schriftlich so übersetzen, dass er auch in der Übersetzung eine gültige sprachliche Gestalt hat</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">gehoben</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie hat den Roman vom/aus dem Spanischen ins Russische übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">in eine andere Form bringen; umwandeln</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Daten auf Lochkarten übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">an anderer Stelle nochmals hinschreiben, zeichnen oder dergleichen</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">einen Aufsatz ins Heft übertragen</span></span></li><li><span class="beispiel"><span class="font_normal">die Zwischensumme auf die nächste Seite übertragen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">das Muster auf den Stoff übertragen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">auf etwas anderes, ein anderes Gebiet anwenden</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">man kann diese Maßstäbe nicht auf die dortige Situation übertragen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">ein Wort übertragen, in übertragener <span class="font_kursiv">(nicht wörtlich zu verstehender, sondern sinnbildlicher) </span>Bedeutung gebrauchen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">(Kräfte o. Ä.) weitergeben, -leiten</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">besonders Technik</span></p></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Antriebswellen übertragen die Kraft des Motors auf die Räder</span></span></div>
{{c1::übertragen}} : <span class="content">(besonders ein Amt, eine Aufgabe) übergeben</span>	<div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">jemandem die Leitung eines Projekts übertragen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">den Gerichten die Wahrnehmung bestimmter Funktionen übertragen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">abgeben, abtreten</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">bestimmte Rechte auf die Tochtergesellschaft übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">anderswohin bringen, gelangen lassen</span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">besonders Medizin</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">ein fremdes Gen auf, in eine befruchtete Eizelle übertragen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">jemandem Blut übertragen</span></span></li></ul></div>
{{c1::übertragen}} : <span class="content">(Geld) transferieren</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">den Gewinn auf ein Schweizer Konto übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">eine Krankheit weitergeben; jemanden anstecken</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">diese Insekten übertragen die Krankheit [auf den Menschen]</span></span></div>
{{c1::übertragen}} : <span class="content">jemanden befallen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich übertragen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">die Krankheit überträgt sich nur auf anfällige Personen</span></span></div>
{{c1::übertragen}} : <span class="content">auf jemanden einwirken und ihn dadurch in der gleichen Weise beeinflussen</span>	<div class="Grammatik"><h3>Grammatik</h3><dl><dd class="content">sich übertragen</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">ihre Nervosität, Stimmung übertrug sich auf die Kinder</span></span></div>
{{c1::übertragen}} : <span class="content">bei jemandem wirksam werden lassen</span>	<div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">sie konnte ihre Begeisterung sogar auf absolut nüchterne Menschen übertragen</span></span></div>
{{c1::übertragen}} : <span class="content">(ein Kind) zu lange <a href="http://www.duden.de/rechtschreibung/austragen#b2-Bedeutung-2" meta-ref-anker="#b2-Bedeutung-2" meta-ref-id="10125830" meta-ref-name="austragen" meta-type="art">austragen (2)</a></span>	<div class="Besonderheiten"><h3>Gebrauch</h3><p><span class="content">Medizin</span></p></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">sie hat ihn um drei Wochen übertragen</span></span></li><li class="noBottomMargin">&lt;meist im 2. Partizip&gt;: <span class="beispiel"><span class="font_normal">ein übertragenes Kind</span></span></li></ul></div>
{{c1::nachgehen}} : <span class="content">hinter jemandem, einer Sache hergehen; jemandem, einer Sache <a href="/rechtschreibung/folgen#b2-Bedeutung-1" meta-ref-anker="#b2-Bedeutung-1" meta-ref-id="10010226" meta-ref-name="folgen" meta-type="art">folgen (1)</a></span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch nāchgān</dd></dl></div><div class="Beispiele"><h3>Beispiele</h3><ul><li><span class="beispiel"><span class="font_normal">er ging ihr in die Küche nach</span></span></li><li><span class="beispiel"><span class="font_normal">einer Spur nachgehen</span></span></li><li class="noBottomMargin"><span class="beispiel"><span class="font_normal">sie gingen dem Wimmern nach <span class="font_kursiv">(gingen in die Richtung, aus der das Wimmern kam, um zu sehen, was es damit auf sich hat)</span></span></span></li></ul></div>
{{c1::nachgehen}} : <span class="content">etwas genau überprüfen, in seinen Einzelheiten zu klären, zu ergründen suchen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch nāchgān</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">einem Hinweis nachgehen</span></span></div>
{{c1::nachgehen}} : <span class="content">jemanden in Gedanken, im Geiste nachträglich noch längere Zeit beschäftigen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch nāchgān</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">seine Worte gingen ihr noch lange nach</span></span></div>
{{c1::nachgehen}} : <span class="content">eine [berufliche] Tätigkeit regelmäßig ausüben, sich einer Tätigkeit, Sache widmen</span>	<div class="Herkunft"><h3>Herkunft</h3><dl><dd class="content">mittelhochdeutsch nāchgān</dd></dl></div><div class="Beispiele"><h3>Beispiel</h3><span class="beispiel"><span class="font_normal">seiner Arbeit, dem Vergnügen nachgehen</span></span></div>
